city,title,price,location,area,building_area,bedrooms,bathrooms,garage
Jakarta Selatan,Rumah American Classic Non Cluster Dekat Jalan Utama,"Rp 1,35 Miliar","Jagakarsa, Jakarta Selatan",: 71 m²,: 100 m²,3,3,1
Jakarta Selatan,Rumah Di Hanglekir Kebayoran Baru Lokasi Asri Jalan Lebar,"Rp 12,5 Miliar","Kebayoran Baru, Jakarta Selatan",: 235 m²,: 400 m²,3,3,2
Jakarta Selatan,Townhouse Mewah Full Furnished Akses Jalan Utama,"Rp 1,87 Miliar","Jagakarsa, Jakarta Selatan",: 74 m²,: 130 m²,3,3,2
Jakarta Selatan,Rumah Lama Hitung Tanah di Pejaten Jatipadang Jakarta Selatan Shm,Rp 16 Miliar,"Pejaten, Jakarta Selatan",: 1190 m²,: 300 m²,5,3,6
Jakarta Selatan,Rumah lama di Radio Dalam kebayoran baru dekat ke pondok indah,"Rp 11,5 Miliar","Kebayoran Baru, Jakarta Selatan",: 580 m²,: 220 m²,3,3,4
Jakarta Selatan,Rumah Tua Hitung Tanah Di Sinabung Kebayoran Baru Shm Kompleks,"Rp 7,5 Miliar","Kebayoran Baru, Jakarta Selatan",: 244 m²,: 200 m²,4,3,
Jakarta Selatan,"Rumah 2 Lantai Di Kemang Barat, Jakarta Selatan Private Pool  Shm",Rp 9 Miliar,"Kemang, Jakarta Selatan",: 318 m²,: 400 m²,4,3,1
Jakarta Selatan,Rumah Di Cipete Lokasi Dekat Kebayoran Baru Furnished S.pool,"Rp 11,9 Miliar","Cipete, Jakarta Selatan",: 400 m²,: 252 m²,4,4,2
Jakarta Selatan,"Rumah Pondok Indah 12 X 22, Kolam Renang, Rooftop","Rp 17,5 Miliar","Pondok Indah, Jakarta Selatan",: 264 m²,: 603 m²,4,4,2
Jakarta Selatan,"Dijual Zenitparc Aeroworld,meleneal House  Dekat Mrt Lebak Bulus ,tol Simatupang Dan Sekolah Faforit","Rp 1,3 Miliar","Kebayoran Lama, Jakarta Selatan",: 89 m²,: 115 m²,3,2,2
Jakarta Selatan,Rumah 2 Lt Dalam Townhouse Jalan Masuk 3 Mbl Bebas Banjir Kpr 0,"Rp 1,65 Miliar","Jagakarsa, Jakarta Selatan",: 72 m²,: 100 m²,3,3,2
Jakarta Selatan,Fast Sale! Rumah Cantik Mewah Lt 530m Prime Area,Rp 17 Miliar,"Tebet, Jakarta Selatan",: 530 m²,: 610 m²,4,4,3
Jakarta Selatan,"Dijual Rmh Kemang: Lokasi Strategis, Dlm Cluster, Pool, Siap Huni",Rp 9 Miliar,"Kemang, Jakarta Selatan",: 247 m²,: 390 m²,3,3,
